78bd96432df7f4db525900a46071207811a32a1a,492b822df6a54f75f5714b2c5389058217064752,2,1,1,#,NULL,NULL,2,NULL,1
1801566535ef683599c448f772f1380f84b915c5,492b822df6a54f75f5714b2c5389058217064752,2,1,1,Normal,NULL,NULL,2,NULL,1
492b822df6a54f75f5714b2c5389058217064752,0c3ddff1fa02191851b21961db6b9b6b37a8f217,2,1,1,#,NULL,NULL,2,NULL,1
fcc8d52735eb6d61e6a466a8143dbe0f4cdd65b7,0c3ddff1fa02191851b21961db6b9b6b37a8f217,2,1,1,Normal,NULL,NULL,2,NULL,1
0c3ddff1fa02191851b21961db6b9b6b37a8f217,c21002c927301cefd356f76545986a1134c83f83,2,1,1,fix #,ISSUE,NULL,2,NULL,1
c21002c927301cefd356f76545986a1134c83f83,bf03077d38ba78fe679f8e0340b3277cadf0523e,8,4,4,fix #,ISSUE,NULL,0,NULL,0
bf03077d38ba78fe679f8e0340b3277cadf0523e,cab526e40a8a02299d1bab317d0f2db4ec415978,2,1,1,#,NULL,NULL,2,NULL,1
cab526e40a8a02299d1bab317d0f2db4ec415978,851da94243016b6fdcce276baf641c2a847a4a56,29,21,8,fix #,ISSUE,NULL,29,NULL,1
015add56f5d86ff9a897afb8cc8ff801df11f626,851da94243016b6fdcce276baf641c2a847a4a56,2,1,1,Normal,NULL,NULL,2,NULL,1
961b623aacdd44bdfe5738278425ee668bfd9a69,851da94243016b6fdcce276baf641c2a847a4a56,8,4,4,fix,NULL,NULL,0,NULL,0
851da94243016b6fdcce276baf641c2a847a4a56,f7db4edf42643018d68a4bd753581a73207a0c04,3,1,2,#,NULL,NULL,3,NULL,1
17f4d8947caaadbb0b4e08ece51f926b364e7300,f7db4edf42643018d68a4bd753581a73207a0c04,3,1,2,Normal,NULL,NULL,3,NULL,1
f7db4edf42643018d68a4bd753581a73207a0c04,21a426d66a3fad2a2d700aaac548e3866e64af56,57,55,2,#,NULL,NULL,31,NULL,1
3e6147c69af3d2f515753164bfa0e6e883af0da9,008bf4ec3e551df13c4eb1bbbef4d96c38bc2ada,2,1,1,fix,NULL,NULL,0,NULL,0
008bf4ec3e551df13c4eb1bbbef4d96c38bc2ada,21a426d66a3fad2a2d700aaac548e3866e64af56,57,55,2,Normal,NULL,NULL,31,NULL,1
