d43951530407ab36b1c9ade499a0a0eb3e715fa8,27917f2e86bbd97ee047d69817730a57bdf5ad6b,42,21,21,Document,NULL,NULL,0,NULL,0
27917f2e86bbd97ee047d69817730a57bdf5ad6b,c60a823cf727c00bdb5ca92b9a36c36e0bc62db5,145,71,74,#,NULL,NULL,145,NULL,3
c60a823cf727c00bdb5ca92b9a36c36e0bc62db5,e3c0b0d17816b8bd397959243353236b1a6ac507,4,2,2,Normal,NULL,NULL,4,NULL,1
e3c0b0d17816b8bd397959243353236b1a6ac507,7115f2fe96f604586e4224fbcb77e62482090924,4,2,2,#,NULL,NULL,4,NULL,1
7115f2fe96f604586e4224fbcb77e62482090924,d24e0016649893ceba9c083a5e1edeccc279c545,6,3,3,fix #,ISSUE,NULL,6,NULL,2
d24e0016649893ceba9c083a5e1edeccc279c545,2c4dc6c8796e12866c07dc358e3247e77ea8fc4e,14,7,7,Document,NULL,NULL,0,NULL,0
2c4dc6c8796e12866c07dc358e3247e77ea8fc4e,6b9452afb330194279e1998bc03a1159895c89e9,34,17,17,fix #,ISSUE,NULL,34,NULL,2
6b9452afb330194279e1998bc03a1159895c89e9,66139d567eef8198101368b5d8ea37458767cae4,2,1,1,Normal,NULL,NULL,2,NULL,1
66139d567eef8198101368b5d8ea37458767cae4,47e582e6edd292ee6586bab398f628ac8823e7ac,6,6,0,Normal,NULL,NULL,6,NULL,1
47e582e6edd292ee6586bab398f628ac8823e7ac,6589f5e56afcec617f89c22510bbafabae1629e3,4,2,2,#,NULL,NULL,4,NULL,1
6589f5e56afcec617f89c22510bbafabae1629e3,63cd838a387448a598380efc610f2b14e74cc3d9,46,24,22,fix,NULL,NULL,46,NULL,2
63cd838a387448a598380efc610f2b14e74cc3d9,0d9c1cbeea4e839a9b05e1afc87aa45a4b41e0f7,4,2,2,#,ISSUE,NULL,4,NULL,1
0d9c1cbeea4e839a9b05e1afc87aa45a4b41e0f7,45cd6720ead30a1226af2b5fe552759ee795e767,4,2,2,Document,NULL,NULL,0,NULL,0
45cd6720ead30a1226af2b5fe552759ee795e767,58b51cd69fdf6573010f01eda0a4f2f6ad057f32,2,1,1,Normal,NULL,NULL,2,NULL,1
58b51cd69fdf6573010f01eda0a4f2f6ad057f32,2c266b8c416757cf16f170d103f8ea23e50fd630,2,1,1,#,NULL,NULL,2,NULL,1
2c266b8c416757cf16f170d103f8ea23e50fd630,398db21fdd2527fe076155a379a2d2f16cddc276,2,1,1,Document,NULL,NULL,0,NULL,0
398db21fdd2527fe076155a379a2d2f16cddc276,4b87db938986ac7037093af6685ab3f5cf2e34ce,58,23,35,Document,NULL,NULL,0,NULL,0
4b87db938986ac7037093af6685ab3f5cf2e34ce,31b72fb1a35ab302ba58999312bbb9ccce851e25,6,2,4,Normal,NULL,NULL,0,NULL,0
31b72fb1a35ab302ba58999312bbb9ccce851e25,677d7127a093da43914b547212dbf88ba437aa57,5,3,2,Normal,NULL,NULL,0,NULL,0
677d7127a093da43914b547212dbf88ba437aa57,d423cf68fac9004d44d39542a001855d38fecf5f,4,2,2,Normal,NULL,NULL,0,NULL,0
d423cf68fac9004d44d39542a001855d38fecf5f,3a75e4dbadabebeac1cb8f526af7d8d5eb418547,5,3,2,Normal,NULL,NULL,0,NULL,0
3a75e4dbadabebeac1cb8f526af7d8d5eb418547,9c604968c4700bb3146f66e3a917bc50738e2c0b,2,1,1,Document,NULL,NULL,0,NULL,0
9c604968c4700bb3146f66e3a917bc50738e2c0b,8c8834dadc5fcc4ad79eb0d5ad5af1a38fbdac12,4,2,2,fix #,ISSUE,NULL,4,NULL,1
8c8834dadc5fcc4ad79eb0d5ad5af1a38fbdac12,b8b16fa4604e55487f2a42e5567a33df28abb554,49,30,19,#,NULL,NULL,49,NULL,1
b8b16fa4604e55487f2a42e5567a33df28abb554,6bab63733143479afa2a37cd2b356532ce050786,3,3,0,Normal,NULL,NULL,3,NULL,1
6bab63733143479afa2a37cd2b356532ce050786,af80dc5f68b8ea99cadc684bed50b85ccf22e451,64,28,36,fix,ISSUE,NULL,64,NULL,2
af80dc5f68b8ea99cadc684bed50b85ccf22e451,d75ea74faa596fb1be484155e447a6a026014e24,2,1,1,Document,NULL,NULL,0,NULL,0
d75ea74faa596fb1be484155e447a6a026014e24,fd805181b566f6149e807f75b2b2c5b3b678041a,2,1,1,Document,NULL,NULL,0,NULL,0
fd805181b566f6149e807f75b2b2c5b3b678041a,7101560c84596b9f028400d2079cb40776bd34d4,5,2,3,Normal,NULL,NULL,0,NULL,0
7101560c84596b9f028400d2079cb40776bd34d4,3489efc6a0d0b8f6987b27b0df6118e584066a48,4,4,0,Normal,NULL,NULL,0,NULL,0
3489efc6a0d0b8f6987b27b0df6118e584066a48,51de11b4455abbaabad8a78dbb28558149ff760b,396,203,193,Document,NULL,NULL,0,NULL,0
51de11b4455abbaabad8a78dbb28558149ff760b,88aadf92434f3ccb0d23fad0e7a59903361538b4,4,4,0,Normal,NULL,NULL,0,NULL,0
88aadf92434f3ccb0d23fad0e7a59903361538b4,c48015f9fc85ed774057655ff200c84409f15d6f,25,17,8,Document,NULL,NULL,0,NULL,0
c48015f9fc85ed774057655ff200c84409f15d6f,07d3b305766691e75bb4e00b51dc03540853f3d9,6,3,3,#,NULL,NULL,6,NULL,1
07d3b305766691e75bb4e00b51dc03540853f3d9,405003ac67d3530cc7318e2c64cd97edf4d36660,148,89,59,Document,ISSUE,NULL,139,NULL,3
