relattime,language,totalcommits,sloc,ageyear,contributor,hourprolog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
0.000373835,Go,1174,249541,3.180054109,61,-3.427320041,5.397141911,3.069668097,0.50243451,1.785329835,static-strong,static,strong
0.000140713,Go,32067,699947,4.352062211,468,-3.851665778,5.845065156,4.506058332,0.638695095,2.670245853,static-strong,static,strong
0.000671971,Go,1051,165736,2.999142136,59,-3.172649469,5.219416853,3.021602716,0.476997048,1.770852012,static-strong,static,strong
0.000327639,Go,7516,423558,4.175727141,420,-3.484604408,5.626912889,3.875986771,0.620732112,2.62324929,static-strong,static,strong
0.024710463,Go,1350,7677,5.481461355,114,-1.607119117,3.885191541,3.130333768,0.738896357,2.056904851,static-strong,static,strong
0.051641142,Go,875,7248,3.986402167,56,-1.287004162,3.860218185,2.942008053,0.60058111,1.748188027,static-strong,static,strong
0.00121064,Go,5545,379419,3.546035012,333,-2.916984981,5.579119075,3.74390155,0.549743019,2.522444234,static-strong,static,strong
0.044691297,Go,1250,10536,3.575401942,111,-1.349777041,4.022675762,3.096910013,0.553324872,2.045322979,static-strong,static,strong
0.004111579,Go,2098,122410,2.943910976,128,-2.385991361,5.087816898,3.321805484,0.468924673,2.10720997,static-strong,static,strong
0.020511227,Go,2372,29013,7.518257298,131,-1.688008359,4.462592638,3.375114685,0.876117185,2.117271296,static-strong,static,strong
0.069921905,Go,1230,11400,1.165033822,58,-1.155386748,4.056904851,3.089905111,0.066338534,1.763427994,static-strong,static,strong
0.002313852,Go,3509,371624,1.948177437,32,-2.635664423,5.570103754,3.545183368,0.289628509,1.505149978,static-strong,static,strong
0.541854043,Go,329,3867,4.1836078,24,-0.266117682,3.587374172,2.517195898,0.621550964,1.380211242,static-strong,static,strong
1.61E-05,Java,156,12843,1.399839956,10,-4.793174124,4.108666483,2.193124598,0.146078386,1,static-strong,static,strong
8.70E-05,Java,695,10167,4.225426344,59,-4.060480747,4.007192824,2.841984805,0.625870536,1.770852012,static-strong,static,strong
5.82E-05,Java,3331,104384,5.641420814,70,-4.235077015,5.018633935,3.522574633,0.751388497,1.84509804,static-strong,static,strong
0.001086618,Java,568,7179,0.582093557,26,-2.963923105,3.856063953,2.754348336,-0.235007208,1.414973348,static-strong,static,strong
0.002968014,Java,174,2667,2.731463059,16,-2.527534055,3.426023016,2.240549248,0.436395331,1.204119983,static-strong,static,strong
3.53E-05,Java,5081,239256,4.379606867,155,-4.452225295,5.378862838,3.705949195,0.641435128,2.190331698,static-strong,static,strong
0.001024544,Java,1713,8590,2.28823849,66,-2.989469386,3.933993164,3.233757363,0.359501287,1.819543936,static-strong,static,strong
2.40E-05,Java,27002,644003,7.338732767,407,-4.619788758,5.80888789,4.431395933,0.865621074,2.609594409,static-strong,static,strong
0.00043352,Java,1585,41065,3.876519001,49,-3.362990862,4.613471827,3.200029267,0.588441917,1.69019608,static-strong,static,strong
0.000102771,Java,11598,203914,4.605202643,340,-3.988129418,5.309447044,4.064383104,0.663248745,2.531478917,static-strong,static,strong
0.002802379,Java,1467,7486,2.537110918,71,-2.55247313,3.874249823,3.166430114,0.404339454,1.851258349,static-strong,static,strong
9.41E-05,Java,8095,225314,6.578081887,264,-4.026410377,5.352788178,3.908216853,0.818099275,2.421603927,static-strong,static,strong
0.00126046,Java,1619,23675,2.774449653,77,-2.899470932,4.374289988,3.209246849,0.443176848,1.886490725,static-strong,static,strong
0.001501853,Java,1481,25335,6.249365548,53,-2.823372574,4.403720909,3.170555059,0.795835929,1.72427587,static-strong,static,strong
0.002135587,Java,3148,21660,5.735546232,115,-2.670482731,4.335658452,3.498034724,0.758574785,2.06069784,static-strong,static,strong
0.002800029,Java,501,18201,2.312665574,34,-2.552837471,4.26009525,2.699837726,0.364112836,1.531478917,static-strong,static,strong
0.000197098,Java,12869,259757,4.799123007,380,-3.705317783,5.41456726,4.109544801,0.681161882,2.579783597,static-strong,static,strong
0.00089523,Java,2628,64471,2.932254437,69,-3.048065373,4.809364407,3.419625361,0.467201652,1.838849091,static-strong,static,strong
0.001024186,Java,6903,65184,5.111422261,66,-2.989621165,4.814141007,3.839037873,0.70854176,1.819543936,static-strong,static,strong
0.002845743,Java,1900,24702,3.069155511,57,-2.545804324,4.392732117,3.278753601,0.487018894,1.755874856,static-strong,static,strong
0.013396717,Java,1026,7218,5.513101112,35,-1.873001617,3.858416878,3.011147361,0.741395958,1.544068044,static-strong,static,strong
0.000885069,Java,2090,125627,5.581136445,57,-3.05302287,5.099082989,3.320146286,0.74672264,1.755874856,static-strong,static,strong
0.005339265,Java,143,26862,0.667249486,12,-2.272518524,4.429138345,2.155336037,-0.175711752,1.079181246,static-strong,static,strong
0.0031101,Java,2022,50051,4.518490033,101,-2.507225647,4.699412759,3.305781151,0.654993329,2.004321374,static-strong,static,strong
0.000522633,Java,1266,425688,2.205790766,84,-3.281803172,5.629091408,3.102433706,0.343564314,1.924279286,static-strong,static,strong
0.076812215,Java,337,3212,4.914671328,21,-1.114569711,3.506775537,2.527629901,0.691494479,1.322219295,static-strong,static,strong
0.018955735,Java,1448,16969,6.754437275,105,-1.722259371,4.22965625,3.160768562,0.829589173,2.021189299,static-strong,static,strong
0.005404096,Java,2842,69397,5.462960648,149,-2.267276945,4.841340697,3.453624074,0.737428072,2.173186268,static-strong,static,strong
0.008322267,Java,2905,52510,4.849801472,132,-2.079758355,4.720242018,3.463146137,0.685723961,2.120573931,static-strong,static,strong
0.025722687,Java,837,19656,5.613396541,6,-1.589683667,4.293495143,2.922725458,0.749225723,0.77815125,static-strong,static,strong
0.330286989,Java,399,1538,4.866128472,27,-0.481108534,3.186956335,2.600972896,0.687183571,1.431363764,static-strong,static,strong
0.237635138,Java,242,2777,2.746972544,9,-0.624089342,3.44357588,2.383815366,0.438854319,0.954242509,static-strong,static,strong
