updatetime,language,totalcommits,sloc,ageyear,contributor,hourabslog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
317.7659722,C#,3910,343821,3.326288548,85,2.502107389,5.536332399,3.592176757,0.521959921,1.929418926,static-strong,static,strong
370.5334722,C#,1174,20160,7.573376254,143,2.568827446,4.304490528,3.069668097,0.879289534,2.155336037,static-strong,static,strong
463.9947222,C#,1469,25383,5.074996624,120,2.666513041,4.40454295,3.167021796,0.705435758,2.079181246,static-strong,static,strong
531.3527778,C#,8350,114456,8.530866159,202,2.725382955,5.058638564,3.921686475,0.930993128,2.305351369,static-strong,static,strong
2835.624444,C#,1187,17733,6.144824492,113,3.452648711,4.248782214,3.074450719,0.788509483,2.053078443,static-strong,static,strong
6111.159444,C#,663,33915,3.185861433,71,3.786123615,4.530391821,2.821513528,0.503226883,1.851258349,static-strong,static,strong
10.86916667,C++,1899,11917,3.214595647,77,1.036196248,4.076166939,3.278524965,0.507126352,1.886490725,static-weak,static,weak
22.44069444,C++,2557,16793,2.827488844,83,1.351036292,4.225128288,3.407730728,0.4514009,1.919078092,static-weak,static,weak
22.48958333,C++,5125,92689,6.528044367,45,1.351981409,4.967028197,3.70969387,0.814783097,1.653212514,static-weak,static,weak
23.04805556,C++,2638,20089,3.548774338,99,1.362634292,4.302958319,3.421274791,0.550078384,1.995635195,static-weak,static,weak
29.78819444,C++,1271,8236,6.408601402,53,1.47404418,3.915716338,3.104145551,0.80676326,1.72427587,static-weak,static,weak
31.21819444,C++,3009,51235,0.728358153,60,1.494407781,4.709566741,3.478422188,-0.137655014,1.77815125,static-weak,static,weak
31.25694444,C++,871,6475,1.13696052,37,1.494946521,3.811239773,2.940018155,0.055745384,1.568201724,static-weak,static,weak
41.01944444,C++,7103,471483,3.377304012,312,1.612989774,5.673466038,3.851441815,0.528570156,2.494154594,static-weak,static,weak
47.72666667,C++,2956,101073,6.27183957,164,1.678761103,5.004635156,3.47070443,0.797394941,2.214843848,static-weak,static,weak
50.43638889,C++,4021,41727,3.693673225,248,1.702743985,4.620417162,3.604334073,0.567458471,2.394451681,static-weak,static,weak
57.21625,C++,5231,43141,2.041162712,329,1.75751939,4.634890208,3.71858472,0.309877626,2.517195898,static-weak,static,weak
63.09458333,C++,1733,4182449,3.889259613,50,1.799992077,6.621430654,3.238798563,0.589866934,1.698970004,static-weak,static,weak
70.375,C++,33237,138366,4.575737301,131,1.847418408,5.141029386,4.521621817,0.660461083,2.117271296,static-weak,static,weak
73.10777778,C++,1800,64592,3.045612011,62,1.863963583,4.810178732,3.255272505,0.483674577,1.792391689,static-weak,static,weak
74.62111111,C++,148,315077,0.398071181,11,1.872861711,5.498416702,2.170261715,-0.400039263,1.041392685,static-weak,static,weak
83.41180556,C++,3515,46019,3.347945055,90,1.921227522,4.662937177,3.545925329,0.524778322,1.954242509,static-weak,static,weak
91.71625,C++,13627,41982,4.120625772,435,1.962446289,4.623063124,4.134400256,0.614963174,2.638489257,static-weak,static,weak
103.5411111,C++,36226,638114,6.551471836,367,2.015112821,5.804898273,4.559020383,0.816338878,2.564666064,static-weak,static,weak
119.7972222,C++,1172,4790,3.800480067,21,2.078446748,3.680335513,3.068927612,0.579838459,1.322219295,static-weak,static,weak
128.5330556,C++,6068,159076,4.48955189,265,2.109014832,5.201604662,3.783045572,0.652202995,2.423245874,static-weak,static,weak
147.7118056,C++,2761,128792,3.049929559,49,2.169415207,5.109888887,3.441066407,0.484289809,1.69019608,static-weak,static,weak
168.6945833,C++,13585,85640,1.458580054,125,2.227101138,4.932676659,4.133059643,0.16393027,2.096910013,static-weak,static,weak
241.2583333,C++,2936,41959,5.408986947,88,2.382482323,4.622825129,3.467756051,0.733115933,1.944482672,static-weak,static,weak
269.4676389,C++,21093,452768,4.861380626,382,2.430506617,5.655875725,4.324138353,0.686759626,2.582063363,static-weak,static,weak
282.9408333,C++,2074,155798,4.552558224,26,2.451695628,5.192561878,3.316808752,0.658255509,1.414973348,static-weak,static,weak
292.69875,C++,13713,143177,6.466287198,399,2.466420868,5.155873258,4.137132476,0.81065499,2.600972896,static-weak,static,weak
315.7594444,C++,2338,36735,2.136878665,167,2.499356349,4.565080044,3.368844507,0.329779863,2.222716471,static-weak,static,weak
347.1891667,C++,15208,81832,7.643294946,239,2.540566165,4.912923166,4.182072104,0.883280619,2.378397901,static-weak,static,weak
482.7354167,C++,4556,156245,2.727329765,262,2.683709163,5.193806128,3.658583715,0.435737652,2.418301291,static-weak,static,weak
915.1080556,C++,1893,110883,2.765962609,55,2.961472378,5.044864968,3.277150614,0.441846305,1.740362689,static-weak,static,weak
915.1144444,C++,136,16530,2.723923868,17,2.96147541,4.218272854,2.133538908,0.435194965,1.230448921,static-weak,static,weak
1974.885278,C++,3809,95868,4.993423868,257,3.295541872,4.981673667,3.580810973,0.698398433,2.409933123,static-weak,static,weak
2265.95,C++,1789,18988,6.579816872,81,3.355250323,4.278479223,3.252610341,0.818213807,1.908485019,static-weak,static,weak
5521.398056,C++,1616,21953,4.490324331,68,3.742049058,4.341493877,3.208441356,0.652277711,1.832508913,static-weak,static,weak
11306.04958,C++,1384,44415,2.452078929,63,4.053310886,4.647529666,3.14113609,0.389534445,1.799340549,static-weak,static,weak
19.69527778,Go,4280,304226,3.486365066,127,1.29436211,5.483196327,3.631443769,0.542372861,2.103803721,static-strong,static,strong
