4522989aac27aada5f522675b33a2bde63a13b30,bf588bf77caa4e8a5fb2a3888b0e91a096a0a9de,2,1,1,Document,NULL,NULL,0,NULL,0
bf588bf77caa4e8a5fb2a3888b0e91a096a0a9de,9f487e82a3ea7f9368b3411a89692d9ce5face51,17,17,0,Document,NULL,NULL,0,NULL,0
9f487e82a3ea7f9368b3411a89692d9ce5face51,34d76ee8adac9d826ed9689f00cc134cf6fe5197,63,37,26,Normal,NULL,NULL,0,NULL,0
34d76ee8adac9d826ed9689f00cc134cf6fe5197,d03bccef312a629cf71083160b33b0b851dbfd22,2,2,0,Document,NULL,NULL,0,NULL,0
d03bccef312a629cf71083160b33b0b851dbfd22,9a14b7142e771bfe65067d4502fef9d03aa9f04c,2,1,1,Document,NULL,NULL,0,NULL,0
9a14b7142e771bfe65067d4502fef9d03aa9f04c,69bdce84cef516184059ecb70684bc0c8034daf1,2,1,1,Document,NULL,NULL,0,NULL,0
69bdce84cef516184059ecb70684bc0c8034daf1,783f1a4b2662d43d7510622aecdb5af210268c72,2,1,1,Document,NULL,NULL,0,NULL,0
783f1a4b2662d43d7510622aecdb5af210268c72,c4de427bd76cf96af9f269f154b9bb15f9c4ea01,2,1,1,Document,NULL,NULL,0,NULL,0
c4de427bd76cf96af9f269f154b9bb15f9c4ea01,5db2631058dd2dc218836b46a15dbb0fe5fcb654,2,1,1,Document,NULL,NULL,0,NULL,0
5db2631058dd2dc218836b46a15dbb0fe5fcb654,fadcac1c9e8097489c3cb6491c2efc9b665cb028,130,128,2,Document,NULL,NULL,0,NULL,0
fadcac1c9e8097489c3cb6491c2efc9b665cb028,6232c238985099639a1ac16d781c58c1f64a5454,91,83,8,Normal,NULL,NULL,50,NULL,3
6232c238985099639a1ac16d781c58c1f64a5454,c47523be6ea87e774a37f39c95ab98315c17ec0c,2,1,1,Normal,NULL,NULL,0,NULL,0
c47523be6ea87e774a37f39c95ab98315c17ec0c,3b9a1e736259274f095968ad5d9fbe52d8dd0b55,0,0,0,Normal,NULL,NULL,0,NULL,0
3b9a1e736259274f095968ad5d9fbe52d8dd0b55,null,0,0,0,null
535ff441d785fd46af111776cb2d5c6882287fa7,null,26,26,0,Document,NULL,NULL,0,NULL,0
