9be9b0b95444595eb2bb60428d62bc249681c426,4528bcd3dd570c90e24da12b08981b31399b59b2,46,46,0,Normal,NULL,NULL,46
4528bcd3dd570c90e24da12b08981b31399b59b2,621336d9fd3e298a19461047adfd94f43a5a6863,155,155,0,Normal,NULL,NULL,0
621336d9fd3e298a19461047adfd94f43a5a6863,d955249897834c2e48c323d845269e87e8e22ff7,30,20,10,#,NULL,NULL,26
d955249897834c2e48c323d845269e87e8e22ff7,9f3335fabf0e3b631a6775b1ada2f571b5ccb84b,187,89,98,Normal,NULL,NULL,94
9f3335fabf0e3b631a6775b1ada2f571b5ccb84b,82ca308a3b8825a1bcbe4c5c50d0329a76e96015,51,27,24,Format,NULL,NULL,51
82ca308a3b8825a1bcbe4c5c50d0329a76e96015,3f38fd0aacf02348577045d9a887108e30a04db8,127,119,8,Normal,NULL,NULL,114
3f38fd0aacf02348577045d9a887108e30a04db8,ed851da0b724a4ff1551834a748644357703cfe6,17,16,1,#,NULL,NULL,17
ed851da0b724a4ff1551834a748644357703cfe6,8f0b4b1928a23d09e17b850d351cf6835f48c05d,1,1,0,#,NULL,NULL,0
8f0b4b1928a23d09e17b850d351cf6835f48c05d,f7a7e962b1fde9f5d869f72671635abcb111a82a,35,34,1,#,NULL,NULL,35
f7a7e962b1fde9f5d869f72671635abcb111a82a,bdfc3903e11031e2403f2ef426ec6f83a621c10c,33,33,0,Normal,NULL,NULL,33
239907d63bd3059fd5d1961177b349b99e19408c,66a7583c4cd7abbb1a54fc3778e8d4197d890058,33,33,0,Normal,NULL,NULL,33
66a7583c4cd7abbb1a54fc3778e8d4197d890058,bdfc3903e11031e2403f2ef426ec6f83a621c10c,2,1,1,Normal,NULL,NULL,2
bdfc3903e11031e2403f2ef426ec6f83a621c10c,0647866423602b9138d1ae3673429fd0bce15525,9,9,0,#,NULL,NULL,9
8b79ca3d2b40c23aaf3a97cc6f2d12dcaa5fa1ab,0647866423602b9138d1ae3673429fd0bce15525,9,9,0,Normal,NULL,NULL,9
