AndFix,1115
Arduino,36735
aria2,92689
bitcoin,143177
caffe,41727
capnproto,63900
Catch,18988
CNTK,85640
cocos2d-x,638114
CRYENGINE,1389582
electron,41982
fastText,1456
flatbuffers,12611
fnordmetric,17253
folly,95868
godot,471483
googletest,33052
guetzli,6065
hardseed,3123
hhvm,606050
imgui,16793
json,4182449
leetcode,15290
lepton,13433
leveldb,16530
libphonenumber,44415
mars,315077
mongo,989811
mosh,8236
mxnet,43141
notepad-plus-plus,141831
nw.js,41959
openage,20089
openalpr,25423
opencv,452768
openFrameworks,81832
osquery,43794
Paddle,51235
protobuf,156245
proxygen,32694
rapidjson,11917
RedisDesktopManager,4790
rethinkdb,138366
robomongo,155798
rocksdb,159076
sqlitebrowser,64592
ssdb,28924
swift,378398
sysdig,46019
tdesktop,128792
tensorflow,358238
tesseract,110883
tiled,101073
uWebSockets,6475
v8,1111735
watchman,21953
wkhtmltopdf,8578
xbmc,517152
xgboost,10324
zeal,4839
