acat,96002
akka.net,229033
aspnetboilerplate,50265
AutoMapper,42648
Avalonia,82275
awesome-dotnet-core,434
BaiduPanDownloadWinform,4056
BotBuilder,41696
CefSharp,15279
choco,34041
cli,57174
CodeHub,25819
coreclr,5556924
corefx,2373021
Dapper,17733
Destroy-Windows-10-Spying,7002
dnSpy,250980
EntityFramework,343821
EventStore,195592
FluentValidation,16176
gitextensions,114456
Glimpse,54631
GVFS,27361
Hangfire,33094
Hearthstone-Deck-Tracker,37458
Humanizer,25383
ILSpy,80092
MahApps.Metro,33465
MaterialDesignInXamlToolkit,31630
mono,5393101
MonoGame,147382
msbuild,430750
Mvc,196674
Nancy,69448
Newtonsoft.Json,226662
NLog,67435
OpenLiveWriter,288101
OpenRA,222128
Opserver,23917
OptiKey,23971
orleans,154014
Polly,28781
PowerShell,553375
Psychson,1458
PushSharp,4237
react-native-windows,37777
ReactiveUI,28902
RestSharp,20160
roslyn,1981196
ServiceStack,204983
shadowsocks-windows,12325
ShareX,119855
SignalR,93613
Sonarr,127328
SpaceEngineers,620662
SparkleShare,10377
StackExchange.Redis,33915
VsVim,71615
WaveFunctionCollapse,710
Wox,11517
