language,medianabs,type,strongweak,ooandnoo,total,all
C++,0.000213491,static,weak,oo,static-weak-oo,static-weak
Go,0.000278214,static,strong,noo,static-strong-noo,static-strong
C,0.000307819,static,weak,noo,static-weak-noo,static-weak
JS,0.000372909,dynamic,weak,noo,dynamic-weak-noo,dynamic-weak
C#,0.000401999,dynamic,strong,oo,dynamic-strong-oo,dynamic-strong
PHP,0.000424815,dynamic,weak,oo,dynamic-weak-oo,dynamic-weak
Python,0.000462046,dynamic,strong,oo,dynamic-strong-oo,dynamic-strong
Java,0.000845465,static,strong,oo,static-strong-oo,static-strong
Ruby,0.000992759,dynamic,strong,oo,dynamic-strong-oo,dynamic-strong
Obj-C,0.003083828,static,weak,oo,static-weak-oo,static-weak
